,id,path,name,extension,size,atime,mtime,ctime,folder,num_files,depth,parent,uid
0,2,data/yesterday/0000000009.txt,0000000009,txt,282075,2023-01-17 11:12:40,2012-01-09 18:36:09,2023-01-17 11:02:00,False,,0,1,501
1,3,data/yesterday/0000000020.txt,0000000020,txt,283175,2023-01-17 11:12:40,2012-01-09 18:36:12,2023-01-17 11:02:01,False,,0,1,501
2,4,data/yesterday/0000000008.txt,0000000008,txt,283690,2023-01-17 11:12:40,2012-01-09 18:36:08,2023-01-17 11:02:00,False,,0,1,501
3,5,data/yesterday/0000000018.txt,0000000018,txt,282514,2023-01-17 11:12:40,2012-01-09 18:36:12,2023-01-17 11:02:01,False,,0,1,501
4,6,data/yesterday/0000000019.txt,0000000019,txt,282805,2023-01-17 11:12:40,2012-01-09 18:36:12,2023-01-17 11:02:01,False,,0,1,501
5,7,data/yesterday/data.csv,data,csv,3092,2023-02-09 19:35:42,2023-02-09 19:35:41,2023-02-09 19:35:41,False,,0,1,501
6,8,data/yesterday/0000000014.txt,0000000014,txt,280978,2023-01-17 11:12:40,2012-01-09 18:36:11,2023-01-17 11:02:01,False,,0,1,501
7,9,data/yesterday/0000000000.txt,0000000000,txt,285657,2023-01-17 11:12:40,2012-01-09 18:36:04,2023-01-17 11:02:00,False,,0,1,501
8,10,data/yesterday/0000000001.txt,0000000001,txt,285953,2023-01-17 11:12:40,2012-01-09 18:36:05,2023-01-17 11:02:00,False,,0,1,501
9,11,data/yesterday/0000000015.txt,0000000015,txt,281318,2023-01-17 11:12:40,2012-01-09 18:36:11,2023-01-17 11:02:01,False,,0,1,501
10,12,data/yesterday/0000000003.txt,0000000003,txt,286673,2023-01-17 11:12:40,2012-01-09 18:36:05,2023-01-17 11:02:00,False,,0,1,501
11,13,data/yesterday/0000000017.txt,0000000017,txt,281042,2023-01-17 11:12:40,2012-01-09 18:36:12,2023-01-17 11:02:01,False,,0,1,501
12,14,data/yesterday/0000000016.txt,0000000016,txt,280981,2023-01-17 11:12:40,2012-01-09 18:36:11,2023-01-17 11:02:01,False,,0,1,501
13,15,data/yesterday/0000000002.txt,0000000002,txt,288942,2023-01-17 11:12:40,2012-01-09 18:36:05,2023-01-17 11:02:00,False,,0,1,501
14,16,data/yesterday/0000000006.txt,0000000006,txt,287089,2023-01-17 11:12:40,2012-01-09 18:36:07,2023-01-17 11:02:00,False,,0,1,501
15,17,data/yesterday/0000000012.txt,0000000012,txt,281521,2023-01-17 11:12:40,2012-01-09 18:36:11,2023-01-17 11:02:01,False,,0,1,501
16,18,data/yesterday/0000000013.txt,0000000013,txt,280990,2023-01-17 11:12:40,2012-01-09 18:36:11,2023-01-17 11:02:01,False,,0,1,501
17,19,data/yesterday/0000000007.txt,0000000007,txt,285696,2023-01-17 11:12:40,2012-01-09 18:36:08,2023-01-17 11:02:00,False,,0,1,501
18,20,data/yesterday/0000000011.txt,0000000011,txt,287180,2023-01-17 11:12:40,2012-01-09 18:36:10,2023-01-17 11:02:00,False,,0,1,501
19,21,data/yesterday/0000000005.txt,0000000005,txt,288487,2023-01-17 11:12:40,2012-01-09 18:36:06,2023-01-17 11:02:00,False,,0,1,501
20,22,data/yesterday/0000000004.txt,0000000004,txt,288717,2023-01-17 11:12:40,2012-01-09 18:36:06,2023-01-17 11:02:00,False,,0,1,501
21,23,data/yesterday/0000000010.txt,0000000010,txt,283223,2023-01-17 11:12:40,2012-01-09 18:36:10,2023-01-17 11:02:00,False,,0,1,501
22,1,data/yesterday,yesterday,,5971798,2023-02-09 19:34:29,2023-02-09 19:34:20,2023-02-09 19:34:20,True,22.0,0,0,501
